doi,title,year,authors,journal,source,campaign,notes
10.5194/amt-13-1357-2020,Analysis of flow in complex terrain using multi-Doppler lidar retrievals,2020,"Tyler Bell, Petra M. Klein, Norman Wildmann, Robert Menke",Atmospheric Measurement Techniques,research_rabbit_csv,,
10.5194/acp-2020-423,Measurement report: Properties of aerosol and gases in the vertical profile during the LAPSE-RATE campaign,2020,"D. V. Brus, Jani Gustafsson, Ville Vakkari, O. Kemppinen, Gijs de Boer, Anne Hirsikko",Atmospheric Chemistry and Physics,research_rabbit_csv,,
10.25394/pgs.14916606.v1,Quality control and verification of Doppler spectra collected from a vertically pointing FMCW radar deployed during VORTEX-Southeast,2021,Susan L. Beveridge,(missing journal),research_rabbit_csv,,
10.1175/bams-d-17-0165.1,A New Generation of Ground-Based Mobile Platforms for Active and Passive Profiling of the Boundary Layer,2018,"Timothy J. Wagner, Petra M. Klein, David D. Turner",Bulletin of the American Meteorological Society,research_rabbit_csv,,
10.2172/1830497,Study of the Atmospheric Boundary Layer Structure during AWAKEN (Final Report),2021,"Arianna Jordan, Petra M. Klein, Elizabeth Smith, Sonia Wharton",(missing journal),research_rabbit_csv,,
10.1088/1742-6596/2265/2/022058,Design of the American Wake Experiment (AWAKEN) field campaign,2022,"Mithu Debnath, Andy K. Scholbrock, Daniel Zalkind, Patrick Moriarty, Eric Simley, Nicholas Hamilton, Chris Ivanov, Robert S. Arthur, R. J. Barthelmie, Nicola Bodini, Alan Brewer, Lexie Goldberger, Thomas Herges, Brian D. Hirth, Giacomo Valerio Iungo, David Jäger, Colleen Kaul, Petra M. Klein, Raghavendra Krishnamurthy, Stefano Letizia, Julie K. Lundquist, David Maniaci, Rob Newsom, Mikhail Pekour, S. C. Pryor, Michael T. Ritsche, Jason Roadman, John L. Schroeder, William J. Shaw, Jeroen van Dam, Sonia Wharton",Journal of Physics: Conference Series,research_rabbit_csv,,
10.2172/1986150,TRACER-Uncrewed Aircraft System (TRACER-UAS) Field Campaign Report,2023,"Gijs de Boer, Petra M. Klein, Brian Argrow, T. D. Thornberry, Phillip B. Chilson, Radiance Calmer, Francesca M. Lappin, Michael E. Rhodes, Elizabeth A. Pillar-Little, Brian Butterworth, Antonio R. Segales, Jonathan Hamilton, Kelsey Britt, Justin Buchli, I. Medina, Elizabeth Asher, Leia Otterstatter, Madison Ritsch, Bryony Puxley, Angelina Miller, Michelle J. S. Spencer, Céu Gómez-Faulk, Elizabeth Smith, Steven Borenstein",(missing journal),research_rabbit_csv,,
10.2172/1984939,TRACER-Coastal Urban Boundary-Layer Interactions with Convection (TRACER-CUBIC) Field Campaign Report,2023,"Petra M. Klein, Elizabeth Smith, Timothy J. Wagner, Jeremy A. Gibbs, Tyler Bell, Joshua Gebauer, Michelle J. S. Spencer, Matt Carney",(missing journal),research_rabbit_csv,,
10.1002/essoar.10503532.1,Connecting Land-Atmosphere Interactions to Surface Heterogeneity in CHEESEHEAD 2019,2020,"Brian Butterworth, Ankur R. Desai, Stefan Metzger, Philip A. Townsend, Mark D. Schwartz, Grant W. Petty, Matthias Mauder, Hannes Vogelmann, Christian Andresen, Travis J. Augustine, Timothy H. Bertram, William O. Brown, Michael Buban, Patricia Cleary, David Durden, Christopher Florian, Eliceo Ruíz Guzmán, Trevor J. Iglinski, Eric L. Kruger, Kathleen Lantz, Temple R. Lee, Tilden P. Meyers, James Mineau, Erik R. Olson, Steven Oncley, Sreenath Paleri, R. A. Pertzborn, Claire Pettersen, David M. Plummer, Laura Riihimaki, Joseph Sedlar, Elizabeth Smith, Johannes Speidel, Paul C. Stoy, Matthias Sühring, Jonathan E. Thom, David D. Turner, Michael P. Vermeuel, Timothy J. Wagner, Zhien Wang, Luise Wanner, Loren D. White, James M. Wilczak, Daniel B. Wright, Ting Zheng",(missing journal),research_rabbit_csv,,
10.2172/1595264,Micropulse Differential Absorption Lidar (MPD) Network Demonstration Field Campaign Report,2019,"Tammy M. Weckwerth, Scott M. Spuler, David D. Turner",(missing journal),research_rabbit_csv,,
10.5194/essd-2020-98,Data generated during the 2018 LAPSE-RATE campaign: an introduction and overview,2020,"Gijs de Boer, Adam L. Houston, Jamey Jacob, Phillip B. Chilson, Suzanne Smith, Brian Argrow, Dale Lawrence, Jack Elston, David Brus, Osku Kemppinen, Petra M. Klein, Julie K. Lundquist, Sean Waugh, Sean Bailey, Amy E. Frazier, Michael P. Sama, Christopher Crick, David G. Schmale, James O. Pinto, Elizabeth A. Pillar-Little, Victoria Natalie, Anders A. Jensen, Anders Bonde Jensen",Earth System Science Data,research_rabbit_csv,,
